"EXPOCODE","Cruise_ID","Observation_Type","Sample._ID","Station_ID","Cast_number","Niskin_ID","Year_UTC","Month_UTC","Day_UTC","Time_UTC","YearDay_UTC","Latitude_Dec_Deg","Longitude_Dec_Deg","Depth_Bottom_meters","Depth_meters","CTDPRES_dbar","FlowThrough.Intake_Temperature_deg_C","TSGTEMP_deg_C","CTDTEMP_ITS90","TSGSAL_PSS78","CTDSAL_PSS78","Salinity_PSS78","Salinity_Flag","CTDOXY_mg.L","CTDOXY_umol.kg","DIC_umol.kg","DIC_Flag","TA_umol.kg","TA_Flag","pH_TS_20C","pH_TS_25C","pH_Flag","Silicate_umol.kg","Nitrite_and_Nitrate_umol.kg","Ammonium_umol.kg","Phosphate_umol.kg","Nutrients_Flag","X","Y","bathymetry","resolution","tight","nBox","nTight","line_id","line_name","alt_station_id"
"33WA20111020","WS1116","Niskin","540101","54",1,1,2011,10,23,"12:17:10",296.5119,25.3432,-81.1561,-999,1.2,"-999",22.97,23.34,22.98,24.915,25.033,-999,9,-999,-999,2987.9,2,3202.4,2,-999,-999,9,-999,-999,-999,-999,9,-81.1561,25.3432,2.24022269248962,945,"no","yes","no","SR","Shark River",NA
"33WA20111020","WS1116","Niskin","560101","56",1,1,2011,10,23,"13:34:00",296.5653,25.349,-81.2272,-999,1.5,"-999",23.07,23.44,23.06,32.495,32.489,-999,9,-999,-999,2278.7,2,2657.9,2,-999,-999,9,-999,-999,-999,-999,9,-81.2272,25.349,3.02198529243469,2337,"no","yes","no","SR","Shark River",NA
"33WA20111020","WS1116","Niskin","580103","58",1,3,2011,10,23,"17:31:28",296.7302,25.1654,-81.4881,-999,1.8,"-999",25.61,26,25.63,36.381,36.395,-999,9,-999,-999,2008.9,6,2339.4,6,-999,-999,9,-999,-999,-999,-999,9,-81.4881,25.1654,8.8177604675293,3690,"no","yes","no","MC","Middle Cape",NA
"33WA20111020","WS1116","Flow-through","640000","64",0,0,2011,10,24,"15:43:43",297.6554,24.8962,-80.6074,-999,1.5,"-999",25.1,25.51,24.57,33.137,33.988,-999,9,-999,-999,2041.8,2,2308.4,2,-999,-999,9,-999,-999,-999,-999,9,-80.6074,24.8962,5.31043863296509,255,"yes","no","no","MC","Middle Cape",NA
"33WA20111020","WS1116","Flow-through","610000","61",0,0,2011,10,24,"16:26:30",297.6851,24.8649,-80.5793,-999,1.5,"-999",-999,-999,27.02,-999,34.963,-999,9,-999,-999,2028.8,2,2340.6,2,-999,-999,9,-999,-999,-999,-999,9,-80.5793,24.8649,24.4368495941162,175,"yes","no","no","MC","Middle Cape",NA
"33WA20111211","WS1118","Niskin","950106","9.5",1,6,2011,12,12,"0:05:00",346.0035,24.7161,-80.6918,-999,1.2,"-999",25.25,26.26,26.08,35.961,35.953,-999,9,-999,-999,2013,2,2346.7,2,-999,-999,9,-999,-999,-999,-999,9,-80.6918,24.7161,125.256004333496,1473,"yes","no","no","MM75","Craig Key",NA
"33WA20111211","WS1118","Niskin","2250103","22.5",1,3,2011,12,12,"17:57:00",346.7479,24.3949,-81.8321,-999,1,"-999",24.95,25.96,25.64,35.971,35.972,-999,9,-999,-999,2021.5,6,2353.5,6,-999,-999,9,-999,-999,-999,-999,9,-81.8321,24.3949,148.440994262695,1178,"yes","no","no","KWS","Key West South",NA
"33WA20111211","WS1118","Niskin","2550105","25.5",1,5,2011,12,13,"1:36:00",347.0667,24.2852,-82.7681,-999,1.8,"-999",24.4,25.42,25.08,35.958,35.967,-999,9,-999,-999,2028.6,2,2359.4,2,-999,-999,9,-999,-999,-999,-999,9,-82.7681,24.2852,379.104156494141,2127,"yes","no","no",NA,NA,NA
"33WA20111211","WS1118","Flow-through","DT90000","DT9",0,0,2011,12,13,"5:04:00",347.2111,24.4638,-83.0491,-999,1.5,"-999",24.46,25.45,25.45,35.963,35.962,-999,9,-999,-999,2029.6,2,2355.1,2,-999,-999,9,-999,-999,-999,-999,9,-83.0491,24.4638,58.5108375549316,2622,"yes","no","no",NA,NA,NA
"33WA20111211","WS1118","Niskin","300104","30",1,4,2011,12,13,"17:31:00",347.7299,25.3993,-82.2121,-999,1.8,"-999",22.25,23.24,22.94,36.241,36.246,-999,9,-999,-999,2072.6,2,2393.9,2,-999,-999,9,-999,-999,-999,-999,9,-82.2121,25.3993,25.1684474945068,7019,"no","yes","no","MI","Marco Island",NA
